9429737,94
4579534,47
7319494,47
9822278,85
8001599,58
7000568,66
6595531,46
1422182,80
9799097,95
6073117,70
9079485,53
1741859,73
5818211,65
9645096,77
7674584,94
3216143,42
6906639,40
9997127,76
3419455,49
4106953,62
3602690,50
4614278,84
8232174,63
5095014,92
1686900,74
9176513,80
4188541,69
8773398,93
8829533,63
7308626,98
4837551,84
6173037,82
4075857,71
9167433,76
3455468,76
7789374,84
2501550,71
6112284,96
3072292,72
8375979,56
1873991,55
3519252,54
4383312,87
9725724,82
7421764,62
7832185,72
7826902,58
4579557,68
6841134,81
7969807,98
3494283,76
5147992,66
8852845,50
1247650,82
5412309,82
4942763,44
7224808,46
2227790,94
6916496,62
8531688,47
9033198,43
5928364,80
5443533,92
2021336,87
7065865,85
4632993,56
7863300,86
7101373,53
5879291,87
6985033,81
9958802,44
3237713,76
6393505,68
9355247,100
4918662,40
4014863,47
9634448,67
1006924,87
3642684,57
1369437,98
1971525,87
4786750,43
3646327,64
6512942,75
1353013,44
8576281,72
6312140,88
9366794,70
9048012,59
7276585,43
2965899,59
1010468,89
2738765,51
2805665,55
9226346,94
6428710,79
3341612,75
6302787,92
1173272,62
3258083,73
2970827,81
7494315,45
7418093,82
4132765,67
2566890,62
7786700,81
2982716,56
6548983,74
5682462,92
9657477,98
2068853,89
3759259,86
4625141,96
7754156,51
7293795,70
3383037,77
8721021,54
3234550,68
6270367,59
9855368,78
1280806,41
2152238,56
6760074,42
6265594,93
8875804,52
7511659,46
4455319,58
5611726,82
2799295,40
8060051,78
7847752,90
7725404,84
2543854,76
7576770,81
2376789,51
9751463,80
4215399,91
8974673,52
5876850,69
2265568,73
8800787,96
7295238,57
2793677,82
8749228,54
2463776,70
2386235,79
1268959,78
8818315,96
8535983,57
6865665,64
2327680,51
8706122,66
4168910,63
8954355,77
9774432,82
1070726,81
7605841,62
6128306,65
8663147,65
9026381,83
2889180,40
9406782,51
1168778,99
2163210,53
8047309,46
5865745,50
6245004,85
1978267,85
9071342,83
7225915,51
6627297,100
9034335,62
1384426,40
9485856,58
3194798,49
6032810,42
2703172,59
4944740,69
9407998,47
9158824,49
6606136,78
3852972,76
7255200,92
7382920,86
8064338,71
9845216,98
8720188,81
1410261,91
3948433,68
4856773,93
4919001,50
5360520,50
5534965,47
4604507,90
4047290,75
7985723,51
5954361,95
3606042,87
2081387,100
2343828,69
5025824,58
5047076,78
9706600,100
8208710,75
1739226,100
7761957,50
7670828,67
8074252,94
2842402,66
9397899,78
7910702,92
8088265,93
2191733,45
8401212,42
9604262,45
3762686,64
7225649,87
3105842,49
9557138,49
5274360,43
5116676,71
3867901,85
9528214,41
4106518,56
1280517,82
1221914,51
9547702,48
2826656,92
5176829,78
9488673,70
9695320,88
1656574,67
2101309,45
7656331,69
7853482,66
6737489,57
6617068,100
9973817,93
7577002,70
8449926,96
4440108,52
6872708,67
4070517,99
7225034,48
3637875,69
5707056,87
4871000,62
8392549,91
7276983,91
7500097,78
2958455,45
1273215,80
6381350,94
3453686,55
8516611,69
6598489,95
7980807,68
9944319,47
3265258,55
8297814,90
2228981,63
6299890,40
1645545,62
5152194,72
6598983,46
6720189,48
1060836,64
6038382,62
2392645,95
5574481,61
4605492,89
4871176,56
7166161,90
3415686,96
4528697,66
4999344,61
4671356,94
9182784,97
1752408,76
9283255,48
8366378,87
2820782,52
2699281,62
6966773,69
9306930,96
8157886,100
7413459,42
3714484,64
7112489,97
8099653,54
2219000,84
2053233,93
4747513,84
4737481,61
3825494,92
5381486,57
9144817,92
5766549,51
8564261,92
4412640,91
4649476,83
7680548,42
8291273,73
8093606,92
5760622,66
1164190,97
1212900,42
1886484,94
2439327,55
7318381,48
6151480,64
1215312,99
3581918,46
5016717,53
5851781,42
7861009,44
7123823,78
5933179,52
4986656,97
8743733,87
7646725,44
8414945,88
9252132,97
6248626,79
3843676,50
4950372,65
7343148,76
3513481,56
4419529,80
3159420,58
7777807,98
5897563,65
5860872,53
4636715,81
4453055,46
9612880,95
7691649,44
7063242,45
1969754,54
4924504,83
5697464,75
4582887,63
4054825,93
7187024,90
9207706,47
6541517,100
5899273,65
1600458,91
4941027,78
2786008,72
1141082,62
6100817,66
8950657,75
5429320,79
2807901,60
2654524,97
2736222,74
7458711,89
3900431,81
3112437,97
7848349,70
8557764,48
1583820,92
2137801,78
1159861,62
3595135,67
3996064,70
9968692,40
2801419,83
9089989,55
1782125,85
1042860,71
3267844,46
3250823,68
6085354,64
4452334,65
6427634,77
8110660,40
4866065,53
